date,2年債,5年債,10年債,20年債,30年債,40年債,変動利付債,物価連動債
2014-05-09,179906.0,458350.0,593394.0,265752.0,26236.0,8473.0,40968.0,12564.0
2014-05-20,174129.0,464561.0,602616.0,266283.0,29230.0,8494.0,40968.0,12564.0
2014-05-30,178589.0,471169.0,610505.0,269251.0,29480.0,8870.0,40968.0,12765.0
2014-06-10,183190.0,480140.0,621073.0,270503.0,29502.0,10629.0,40968.0,12675.0
2014-06-20,170645.0,454818.0,622384.0,271151.0,30146.0,10843.0,42378.0,12675.0
2014-06-30,175129.0,460203.0,634542.0,272153.0,30248.0,11043.0,42378.0,12675.0
2014-07-10,180965.0,469199.0,643628.0,274064.0,31177.0,11043.0,42378.0,12675.0
2014-07-18,176939.0,472217.0,648683.0,274977.0,31479.0,11194.0,42378.0,12675.0
2014-07-31,181959.0,476233.0,661646.0,276922.0,31979.0,11402.0,42378.0,12875.0
2014-08-08,188319.0,479736.0,670777.0,279963.0,32758.0,11632.0,42378.0,12875.0
2014-08-20,189744.0,484121.0,679285.0,281336.0,33103.0,11709.0,42378.0,12875.0
2014-08-29,195747.0,487979.0,686707.0,283808.0,33926.0,11769.0,42378.0,12875.0
2014-09-10,201748.0,497661.0,694964.0,284923.0,34296.0,11769.0,43784.0,12875.0
2014-09-19,194364.0,497661.0,698903.0,285987.0,34464.0,11920.0,43784.0,12875.0
2014-09-30,201728.0,492494.0,687251.0,283603.0,35069.0,12237.0,43784.0,13076.0
2014-10-10,204328.0,498254.0,693855.0,288780.0,35187.0,12422.0,43784.0,13076.0
2014-10-20,200506.0,500713.0,704259.0,290165.0,36067.0,12834.0,43784.0,13076.0
2014-10-31,211945.0,510330.0,717628.0,292811.0,36804.0,12834.0,45184.0,13076.0
2014-11-10,220116.0,522874.0,722925.0,295211.0,38005.0,12834.0,45184.0,13076.0
2014-11-20,215716.0,534259.0,736330.0,299241.0,41594.0,12986.0,45184.0,13076.0
2014-11-28,218402.0,554368.0,740658.0,300877.0,43339.0,13615.0,45184.0,13277.0
2014-12-10,223072.0,559348.0,753095.0,306814.0,47504.0,15579.0,45184.0,12842.0
2014-12-19,224030.0,568998.0,758620.0,308864.0,49471.0,15630.0,45184.0,12842.0
2014-12-30,230729.0,553090.0,751923.0,311756.0,53772.0,16580.0,46584.0,12842.0
2015-01-09,238191.0,562257.0,760979.0,313775.0,55602.0,16581.0,46584.0,12842.0
2015-01-20,236042.0,570838.0,766052.0,318417.0,58613.0,16698.0,46584.0,12842.0
2015-01-30,243438.0,579315.0,778101.0,323205.0,60909.0,17323.0,46584.0,13043.0
2015-02-10,255295.0,592016.0,786253.0,328022.0,63597.0,17449.0,46584.0,13043.0
2015-02-20,242639.0,596758.0,798816.0,330361.0,64944.0,17573.0,46584.0,13043.0
2015-02-27,249910.0,605347.0,802971.0,334881.0,67084.0,18525.0,47984.0,13043.0
2015-03-10,254481.0,620860.0,813195.0,339891.0,68805.0,19624.0,47984.0,13043.0
2015-03-20,245060.0,584141.0,798589.0,341141.0,69672.0,20247.0,47984.0,13043.0
2015-03-31,250559.0,596953.0,811515.0,345593.0,72627.0,20740.0,47984.0,13043.0
2015-04-10,255687.0,604616.0,822449.0,350303.0,74395.0,21883.0,47984.0,13244.0
2015-04-20,254275.0,612212.0,836357.0,353358.0,75551.0,22130.0,47984.0,13244.0
2015-04-30,259196.0,620247.0,849414.0,358692.0,78010.0,22985.0,49387.0,13244.0
2015-05-08,262673.0,624565.0,849797.0,358730.0,78010.0,22985.0,49387.0,13244.0
2015-05-20,262464.0,630477.0,861891.0,368530.0,81589.0,24125.0,49387.0,13444.0
2015-05-29,269483.0,635412.0,870724.0,374785.0,84886.0,24431.0,49387.0,13444.0
2015-06-10,277949.0,647273.0,882118.0,379568.0,87156.0,25006.0,49387.0,12877.0
2015-06-19,277128.0,652647.0,886159.0,382559.0,88562.0,25006.0,49387.0,12877.0
2015-06-30,288231.0,626425.0,882150.0,387757.0,90349.0,26056.0,49321.0,12877.0
2015-07-10,295921.0,634973.0,894306.0,390496.0,91735.0,26081.0,50723.0,12877.0
2015-07-17,289324.0,634973.0,898255.0,392930.0,93166.0,26081.0,50723.0,12877.0
2015-07-31,299472.0,647557.0,908084.0,400043.0,97184.0,26541.0,50723.0,13078.0
2015-08-10,304170.0,659532.0,915764.0,402713.0,98582.0,26670.0,50723.0,13078.0
2015-08-20,300391.0,672441.0,923786.0,405339.0,100045.0,26700.0,50723.0,13078.0
2015-08-31,307672.0,681166.0,931154.0,410792.0,102743.0,26809.0,50723.0,13078.0
2015-09-10,319269.0,693884.0,943261.0,415922.0,104907.0,27459.0,52123.0,12834.0
2015-09-18,313704.0,698174.0,946966.0,418511.0,106165.0,27801.0,52123.0,12834.0
2015-09-30,321595.0,690961.0,946698.0,418245.0,108955.0,27819.0,51413.0,13035.0
2015-10-09,329688.0,699495.0,950740.0,423033.0,111578.0,28091.0,51413.0,13035.0
2015-10-20,319983.0,708150.0,954905.0,427786.0,114392.0,28142.0,51413.0,13035.0
2015-10-30,327161.0,716984.0,966756.0,432678.0,117191.0,28243.0,52614.0,13035.0
2015-11-10,335087.0,725779.0,974672.0,434970.0,118355.0,28702.0,52614.0,13035.0
2015-11-20,329870.0,738877.0,986862.0,439500.0,120181.0,30072.0,52614.0,13235.0
2015-11-30,332585.0,743152.0,994694.0,441967.0,121728.0,30072.0,52614.0,13235.0
2015-12-10,338275.0,751604.0,998662.0,446899.0,124958.0,30153.0,52614.0,12536.0
2015-12-18,323864.0,759555.0,1012121.0,451971.0,127797.0,30357.0,52614.0,12536.0
2015-12-30,330858.0,744765.0,1002332.0,456457.0,130926.0,30432.0,52812.0,12536.0
2016-01-08,338336.0,752481.0,1011390.0,459173.0,132612.0,30625.0,52812.0,12536.0
2016-01-20,329486.0,760838.0,1025078.0,464107.0,136140.0,31165.0,52812.0,12536.0
2016-01-29,337995.0,775412.0,1035579.0,469330.0,139792.0,31165.0,52812.0,12937.0
2016-02-10,343705.0,786138.0,1044420.0,472562.0,141811.0,31165.0,52812.0,12937.0
2016-02-19,331095.0,791004.0,1053039.0,478129.0,145637.0,31312.0,52812.0,12937.0
2016-02-29,335296.0,801808.0,1058340.0,481171.0,146573.0,32344.0,52812.0,12937.0
2016-03-10,337488.0,813390.0,1069243.0,487529.0,149897.0,32918.0,54012.0,12596.0
2016-03-18,329389.0,822299.0,1083137.0,490971.0,151677.0,32954.0,54012.0,12596.0
2016-03-31,337349.0,793653.0,1078545.0,491473.0,154993.0,33361.0,52529.0,12996.0
2016-04-08,344770.0,806914.0,1088503.0,499139.0,158369.0,33424.0,52529.0,12996.0
2016-04-20,334118.0,816073.0,1097332.0,505244.0,161196.0,34271.0,53533.0,12996.0
2016-04-28,338282.0,827638.0,1105485.0,510454.0,164875.0,34346.0,53533.0,12996.0
2016-05-10,338490.0,827681.0,1105935.0,512733.0,166541.0,34406.0,53533.0,12996.0
2016-05-20,334912.0,841262.0,1120191.0,517648.0,169836.0,34606.0,53533.0,12996.0
2016-05-31,341596.0,849292.0,1129887.0,523332.0,172567.0,35331.0,53533.0,13601.0
2016-06-10,346796.0,857936.0,1143273.0,530009.0,175167.0,36093.0,53533.0,12302.0
2016-06-20,331642.0,843189.0,1135866.0,532117.0,176724.0,36097.0,52513.0,12302.0
2016-06-30,337616.0,852940.0,1149058.0,535004.0,178030.0,36613.0,53513.0,12555.0
2016-07-08,347690.0,866683.0,1158225.0,539208.0,180496.0,37294.0,53513.0,12806.0
2016-07-20,330208.0,876120.0,1163191.0,543267.0,182817.0,37381.0,53513.0,12806.0
2016-07-29,336589.0,885685.0,1176047.0,547628.0,184668.0,38004.0,53513.0,13058.0
2016-08-10,343261.0,895870.0,1184871.0,549667.0,184915.0,38961.0,53513.0,13308.0
2016-08-19,324985.0,900133.0,1193436.0,553385.0,187352.0,39609.0,54519.0,13308.0
2016-08-31,335130.0,914916.0,1202342.0,557337.0,189782.0,39735.0,54519.0,13559.0
2016-09-09,337546.0,919576.0,1211876.0,559439.0,190962.0,39868.0,54519.0,13559.0
2016-09-20,327669.0,904660.0,1195366.0,557651.0,192433.0,39868.0,51903.0,13162.0
2016-09-30,338013.0,918669.0,1204354.0,561845.0,194817.0,40309.0,51903.0,13413.0
2016-10-07,343624.0,928390.0,1213729.0,564280.0,195937.0,40580.0,51903.0,13666.0
2016-10-20,331862.0,933090.0,1225867.0,568180.0,197776.0,41065.0,51903.0,13666.0
2016-10-31,338547.0,943266.0,1230041.0,572110.0,199965.0,41158.0,51903.0,13916.0
2016-11-10,342778.0,955726.0,1238333.0,575440.0,202397.0,41790.0,52908.0,13916.0
2016-11-18,340731.0,964984.0,1245462.0,578539.0,203735.0,41795.0,52908.0,14166.0
2016-11-30,342834.0,976534.0,1261101.0,582439.0,205639.0,42149.0,52908.0,14417.0
2016-12-09,348846.0,992556.0,1271676.0,587179.0,206786.0,43219.0,52908.0,14667.0
2016-12-20,341322.0,970448.0,1263410.0,593080.0,209650.0,44185.0,51593.0,13000.0
2016-12-30,343985.0,974947.0,1272631.0,594547.0,211078.0,44332.0,52594.0,13252.0
2017-01-10,350074.0,985156.0,1276658.0,596565.0,212058.0,44539.0,52594.0,13252.0
2017-01-20,336383.0,994821.0,1293428.0,600415.0,214252.0,44599.0,52594.0,13504.0
2017-01-31,344222.0,1003929.0,1301900.0,604447.0,215394.0,45736.0,52594.0,13755.0
2017-02-10,351829.0,1013267.0,1322417.0,608461.0,216557.0,46990.0,52594.0,14006.0
2017-02-20,344224.0,1022528.0,1327533.0,610447.0,217791.0,46990.0,52594.0,14006.0
2017-02-28,347258.0,1027015.0,1337004.0,614530.0,220203.0,47142.0,53597.0,14256.0
2017-03-10,353983.0,1035800.0,1345714.0,618958.0,222306.0,47542.0,53597.0,13984.0
2017-03-17,341434.0,1046974.0,1350357.0,623137.0,224242.0,47866.0,53597.0,13984.0
2017-03-31,347435.0,1021364.0,1347904.0,621360.0,225355.0,47871.0,51981.0,14235.0
2017-04-10,351366.0,1029739.0,1358668.0,623149.0,225988.0,48522.0,51981.0,14488.0
2017-04-20,339409.0,1043939.0,1369414.0,626995.0,228042.0,48978.0,52982.0,14488.0
2017-04-28,340358.0,1054843.0,1383595.0,631298.0,230077.0,49175.0,52982.0,14738.0
2017-05-10,341788.0,1059187.0,1388618.0,633485.0,230977.0,49324.0,52982.0,14989.0
2017-05-19,323004.0,1067072.0,1401778.0,636566.0,231793.0,49510.0,52982.0,14989.0
2017-05-31,325929.0,1075886.0,1410989.0,640945.0,233250.0,50091.0,51408.0,15239.0
2017-06-09,328098.0,1084448.0,1418902.0,647581.0,234878.0,50861.0,51408.0,15489.0
2017-06-20,312420.0,1057359.0,1414629.0,651007.0,236788.0,51943.0,52417.0,13697.0
2017-06-30,320697.0,1067165.0,1423369.0,655335.0,238788.0,52235.0,52417.0,13697.0
2017-07-10,325515.0,1073251.0,1431732.0,658711.0,239784.0,52240.0,52417.0,13948.0
2017-07-20,310129.0,1079896.0,1447203.0,662141.0,242192.0,53125.0,50980.0,14199.0
2017-07-31,312974.0,1083634.0,1452399.0,663817.0,242942.0,53752.0,50980.0,14199.0
2017-08-10,321218.0,1093513.0,1461235.0,668526.0,244788.0,54001.0,50980.0,14451.0
2017-08-18,306894.0,1097545.0,1469723.0,673191.0,246635.0,54264.0,50980.0,14702.0
2017-08-31,314381.0,1104235.0,1480202.0,678358.0,247452.0,54477.0,51982.0,14702.0
2017-09-08,315872.0,1108532.0,1492565.0,683175.0,249226.0,54897.0,51982.0,15203.0
2017-09-20,304143.0,1073299.0,1486880.0,683371.0,251133.0,54998.0,50709.0,14901.0
2017-09-29,307930.0,1080613.0,1496274.0,685706.0,251831.0,55311.0,50709.0,15151.0
2017-10-10,309632.0,1082419.0,1505246.0,689244.0,252099.0,56047.0,50709.0,15151.0
2017-10-20,300828.0,1088909.0,1516763.0,696430.0,255864.0,56062.0,51709.0,15402.0
2017-10-31,306300.0,1094931.0,1525093.0,700231.0,258086.0,56062.0,51709.0,15653.0
2017-11-10,313970.0,1105271.0,1533954.0,702327.0,259167.0,56066.0,51709.0,15906.0
2017-11-20,312982.0,1108281.0,1541911.0,704626.0,260179.0,56066.0,49989.0,15906.0
2017-11-30,320561.0,1117342.0,1546367.0,708540.0,262008.0,56278.0,49989.0,16158.0
2017-12-08,322695.0,1120464.0,1558000.0,711973.0,262235.0,56963.0,49989.0,16409.0
2017-12-20,307085.0,1089025.0,1555325.0,716148.0,264491.0,56968.0,50990.0,14064.0
2017-12-29,312126.0,1095252.0,1559492.0,720016.0,266543.0,57061.0,50990.0,14314.0
2018-01-10,314621.0,1098255.0,1567338.0,722397.0,267220.0,57289.0,50990.0,14314.0
2018-01-19,300930.0,1104599.0,1575490.0,726442.0,267778.0,58339.0,50990.0,14565.0
2018-01-31,305975.0,1110869.0,1586887.0,731355.0,268913.0,58862.0,49126.0,14817.0
2018-02-09,310851.0,1117475.0,1594543.0,736297.0,270877.0,58862.0,49126.0,15069.0
2018-02-20,298654.0,1124228.0,1603262.0,738732.0,271693.0,58862.0,49126.0,15069.0
2018-02-28,303638.0,1130965.0,1611151.0,743348.0,274021.0,58876.0,50129.0,15321.0
2018-03-09,308891.0,1141555.0,1615368.0,748601.0,275876.0,58876.0,50129.0,15574.0
2018-03-20,288100.0,1099189.0,1600976.0,750265.0,277569.0,58876.0,47592.0,15042.0
2018-03-30,291677.0,1106161.0,1609483.0,756038.0,279110.0,58876.0,47592.0,15296.0
2018-04-10,297573.0,1115932.0,1617952.0,760719.0,279737.0,58987.0,47592.0,15547.0
2018-04-20,285767.0,1125847.0,1630038.0,766976.0,280971.0,59501.0,48596.0,15547.0
2018-04-27,288260.0,1129383.0,1637310.0,772724.0,282331.0,59655.0,48596.0,15798.0
2018-05-10,291932.0,1135082.0,1647754.0,775925.0,282888.0,59851.0,48596.0,15798.0
2018-05-18,280370.0,1138479.0,1652670.0,779171.0,284313.0,60425.0,48596.0,16048.0
2018-05-31,286103.0,1148749.0,1666826.0,783319.0,285475.0,61145.0,45824.0,16301.0
2018-06-08,288685.0,1155492.0,1677678.0,785706.0,285575.0,61832.0,45824.0,16551.0
2018-06-20,273153.0,1090345.0,1656343.0,790578.0,286633.0,62536.0,46828.0,14978.0
2018-06-29,276636.0,1096365.0,1665673.0,795012.0,287302.0,63506.0,46828.0,14978.0
2018-07-10,283571.0,1105172.0,1673639.0,800102.0,288587.0,63899.0,46828.0,15230.0
2018-07-20,278162.0,1111399.0,1684992.0,804986.0,289898.0,63969.0,44657.0,15481.0
2018-07-31,282415.0,1117914.0,1710868.0,806824.0,290219.0,64249.0,44657.0,15481.0
2018-08-10,286410.0,1124813.0,1722982.0,809152.0,290573.0,64499.0,44657.0,15732.0
2018-08-20,280309.0,1131684.0,1726346.0,814123.0,291783.0,64750.0,45659.0,15732.0
2018-08-31,282782.0,1134714.0,1734565.0,817565.0,293383.0,64869.0,45659.0,15983.0
2018-09-10,286503.0,1142100.0,1742444.0,821424.0,293596.0,65261.0,45659.0,16237.0
2018-09-20,280265.0,1089324.0,1734460.0,822657.0,294442.0,65801.0,43110.0,16237.0
2018-09-28,284330.0,1096636.0,1740114.0,826644.0,294652.0,66703.0,43110.0,16489.0
2018-10-10,287318.0,1100119.0,1744636.0,828407.0,295126.0,66806.0,43110.0,16740.0
2018-10-19,282752.0,1104098.0,1755314.0,832802.0,296148.0,66851.0,44112.0,16740.0
2018-10-31,286442.0,1111543.0,1765393.0,838615.0,298514.0,66917.0,44112.0,16990.0
